episode,reward,waiting,queue,arrived,epsilon,phase_counts,phases_used,dominant_phase,dominant_pct
115,5066.949187500011,5878.511944444444,43.32972222222222,1324.0,0.7943506368216747,"{""0"": 78, ""1"": 77}",2,0,50.3
116,5219.782937500017,5825.534166666666,43.59305555555556,1348.0,0.7927619355480314,"{""0"": 62, ""1"": 61}",2,0,50.4
117,4843.23056250001,5826.708611111111,42.97944444444445,1275.0,0.7911764116769353,"{""0"": 74, ""1"": 74}",2,0,50.0
118,5255.126124999992,5868.739444444444,43.800555555555555,1359.0,0.7895940588535815,"{""0"": 65, ""1"": 65}",2,0,50.0
119,5006.937812500002,5690.493055555556,42.278333333333336,1299.0,0.7880148707358743,"{""0"": 69, ""1"": 69}",2,0,50.0
120,5189.266374999997,5772.424444444445,42.72805555555556,1341.0,0.7864388409944025,"{""0"": 71, ""1"": 71}",2,0,50.0
121,4979.208125000006,5840.983333333334,43.28138888888889,1302.0,0.7848659633124138,"{""0"": 68, ""1"": 68}",2,0,50.0
122,5091.301500000004,5804.1211111111115,43.17888888888889,1323.0,0.783296231385789,"{""0"": 64, ""1"": 63}",2,0,50.4
123,5319.813812500007,5797.783055555556,43.151666666666664,1370.0,0.7817296389230174,"{""0"": 76, ""1"": 76}",2,0,50.0
124,5246.798750000005,5877.777777777777,43.53111111111111,1360.0,0.7801661796451713,"{""0"": 73, ""1"": 73}",2,0,50.0
125,5051.805875000016,5799.179444444444,43.24888888888889,1314.0,0.778605847285881,"{""0"": 67, ""1"": 67}",2,0,50.0
126,5161.688374999995,5954.823888888889,44.18666666666667,1346.0,0.7770486355913092,"{""0"": 71, ""1"": 71}",2,0,50.0
127,5046.297499999996,5729.347222222223,42.61361111111111,1310.0,0.7754945383201266,"{""0"": 66, ""1"": 65}",2,0,50.4
128,4996.967624999981,5884.710555555555,43.54888888888889,1309.0,0.7739435492434863,"{""0"": 71, ""1"": 71}",2,0,50.0
129,5230.147437499992,5834.166944444444,43.20388888888889,1352.0,0.7723956621449993,"{""0"": 72, ""1"": 71}",2,0,50.3
130,5188.097374999987,5917.275555555556,44.05138888888889,1348.0,0.7708508708207094,"{""0"": 68, ""1"": 68}",2,0,50.0
131,5138.812000000001,5689.23,42.568888888888885,1325.0,0.769309169079068,"{""0"": 66, ""1"": 66}",2,0,50.0
132,5028.212249999996,5929.820555555556,43.94583333333333,1317.0,0.7677705507409098,"{""0"": 69, ""1"": 69}",2,0,50.0
133,5186.569312499996,5931.105833333333,43.75861111111111,1349.0,0.766235009639428,"{""0"": 73, ""1"": 73}",2,0,50.0
134,4842.630687499989,5892.755277777777,43.660833333333336,1277.0,0.7647025396201492,"{""0"": 64, ""1"": 64}",2,0,50.0
135,5271.676374999987,5772.682777777778,42.797777777777775,1359.0,0.763173134540909,"{""0"": 79, ""1"": 78}",2,0,50.3
136,5193.543812499999,5779.858055555555,42.72527777777778,1343.0,0.7616467882718272,"{""0"": 68, ""1"": 68}",2,0,50.0
137,4954.417999999999,5824.347777777778,42.92388888888889,1296.0,0.7601234946952835,"{""0"": 72, ""1"": 71}",2,0,50.3
138,5046.234812500005,5777.2175,42.95444444444445,1313.0,0.7586032477058929,"{""0"": 73, ""1"": 73}",2,0,50.0
